kutte ki aulad,कुत्ते की औलाद
kutte ki zat,कुत्ते की ज़ात
suar ki aulad,सूअर की औलाद
suar ki zat,सूअर की ज़ात
gadhe ki aulad,गधे की औलाद
gadhe ki zat,गधे की ज़ात
bandar ki aulad,बंदर की औलाद
bandar ki zat,बंदर की ज़ात
bhains ki aulad,भैंस की औलाद
bhains ki zat,भैंस की ज़ात
ullu ki aulad,उल्लू की औलाद
ullu ki zat,उल्लू की ज़ात
lomdi ki aulad,लोमड़ी की औलाद
lomdi ki zat,लोमड़ी की ज़ात
bhed ki aulad,भेड़ की औलाद
bhed ki zat,भेड़ की ज़ात
bakri ki aulad,बकरी की औलाद
bakri ki zat,बकरी की ज़ात
billi ki aulad,बिल्ली की औलाद
billi ki zat,बिल्ली की ज़ात
mendhak ki aulad,मेंढक की औलाद
mendhak ki zat,मेंढक की ज़ात
badir,बदीर
badirchand,बदीरचंद
bakland,बकलैंड
bakland,बकलंड
bhandwa,भंडवा
bhadwa,भड़वा
chinaal,चिनाल
chinaal,छनाल
chutiya,चूतिया
chutiya,चुतिया
ghasti,घसटी
ghasti,घसति
ghassad,घसड़
ghassad,घस्सड़
harami,हरामी
haram zada,हरामज़ादा
haram zada,हरामजादा
hijda,हिजड़ा
hijra,हिजड़ा
tatti,टट्टी
 chod,चोद
 land, लंड
 lode, लोडे
takke, टक्के
chakka,छक्का
faggot,हिजड़ा
tatte,टट्टे
raand,रांड 
randhwa,रंढवा
jigolo,जिगोलो
randi,रंडी
land,लंड
chut,चूत
bund,बंड
gaandu,गांडू
gandi,गांडी
bhosdi wala,भोसड़ी वाला
bhonsri wala,भोंसड़ी वाला
bhosri wala,भोसरी वाला
boobley,बूबले
chuchi,चुची
chuuche,चूचे
chuchiyan,चूचियां
chut marike,चूत मार के
land marike,लंड मार के
gand mari ke,गांड मारी के
chodu,चोदू
lavda,लौड़ा
lawda,लौंडा
lawde,लौड़े
loda,लोडा
lund,लंड
muth marna,मुठ मारना
muthi,मुठी
mutthal,मुठल
baable,बाबले
bur,बुर
chodna,चोदना
chudna,चुदना
chud,चुद
buuble,बूबले
chodu,चोदू
bhadwa,भड़वा
bhadwe,भड़वे
bhadwon,भड़वों
bhadwi,भड़वी
bhadwapanti,भड़वापंती
chodela,चोदेला
marana,मारना
marani,मारनी
marane,मारने
gandphatu,गांडफटू
gandphati,गांडफटी
gandphata,गांडफटा
gandphaton,गांडफटों
gaandmasti,गांडमस्ती
gand marna,गांड मारना
gand maru,गांड मारू
gand mari,गांड मारी
gand marana,गांड माराना
jhaant,झाँट
gand phatu,गांड फटू
gand phati,गांड फटी
gand phata,गांड फटा
gand phaton,गांड फटों
gaand masti,गांड मस्ती
gandmarna,गांडमरना
gandmaru,गांडमरू
gandmarana,गांडमराना
gandmari,गांडमारी
randibazar,रंडीबाज़ार
chodo,चोदो
chodi,चोदी
chodne,चोदने
chodva,चोदवा
chudo,चुदो
chudi,चुदी
chudne,चुदने
chudva,चुदवा
chodai,चोदाई
chuda,चुदा
chudai,चुदाई
chudvana,चुदवाना
harami,हरामी
haramia,हरामिया
haramzada,हरामज़ादा
haramzadi,हरामज़ादी
haramkhor,हरामख़ोर
kamina,कमीना
kamini,कमीनी
bhosdi,भोसड़ी
bhosdike,भोसड़ीके
bhandwa,भंडवा
bhandi,भंडी
bhadwa,भड़वा
bhadwi,भड़वी
rand,रांड
randwa,रांडवा
randibazaar,रांडिबाजार
hijda,हिजड़ा
hijra,हिजरा
hijade,हिजड़े
chakka,छक्का
gaandu,गांडू
gandu,गंडू
lavda,लवड़ा
lawda,लौड़ा
loda,लोडा
lund,लंड
lundwa,लंडवा
chut,चूत
chutiya,चूतिया
chutmar,चूतमार
chutiyapa,चूतियापा
